Variables= x y z
Zone T="Lower surface" i=1000  j=33
-0.402771800868636  -0.0831800650325774  0.6615192857372757
-0.40170626700390416  -0.08331936444086616  0.661625882501007
-0.4006407331391723  -0.08345867834794345  0.6617324903597166
-0.39957519927444046  -0.08359800674407934  0.6618391093059591
-0.3985096654097086  -0.08373734961937801  0.6619457393321619
-0.39744413154497676  -0.08387670696224385  0.6620523804294514
-0.3963785976802449  -0.08401607876297482  0.6621590325904033
-0.39531306381551307  -0.08415546501172463  0.6622656958074831
-0.3942475299507813  -0.0842948656969287  0.6623723700718407
-0.3931819960860494  -0.0844342808089129  0.6624790553760737
-0.3921164622213176  -0.08457371033789222  0.6625857517126937
-0.3910509283565857  -0.08471315427232105  0.6626924590728662
-0.3899853944918539  -0.08485261260255285  0.6627991774492089
-0.388919860627122  -0.08499208531887542  0.6629059068342898
-0.3878543267623902  -0.08513157240975017  0.6630126472192792
-0.3867887928976584  -0.08527107386555842  0.6631193985968166
-0.38572325903292654  -0.08541058967667126  0.6632261609595336
-0.3846577251681947  -0.08555011983154634  0.6633329342985973
-0.38359219130346284  -0.08568966432059216  0.6634397186066684
-0.382526657438731  -0.08582922313422618  0.6635465138764136
-0.38146112357399914  -0.08596879626098691  0.6636533200990625
-0.3803955897092673  -0.08610838369126242  0.6637601372672596
-0.3793300558445355  -0.08624798541549718  0.6638669653736927
-0.37826452197980365  -0.08638760142235843  0.6639738044096894
-0.3771989881150718  -0.08652723170218427  0.6640806543678563
-0.37613345425033995  -0.08666687624544646  0.664187515240902
-0.3750679203856081  -0.08680653504095025  0.6642943870202598
-0.37400238652087625  -0.08694620807897407  0.6644012696984904
-0.3729368526561444  -0.08708589535001683  0.6645081632683235
-0.3718713187914126  -0.08722559684303101  0.664615067721305
-0.37080578492668076  -0.08736531254822567  0.6647219830499422
-0.3697402510619489  -0.08750504245612672  0.6648289092469858
-0.36867471719721706  -0.08764478655584303  0.664935846304101
-0.3676091833324852  -0.08778454483750484  0.6650427942137354
-0.36654364946775336  -0.08792431729166507  0.6651497529686596
-0.3654781156030215  -0.08806410390759699  0.6652567225606654
-0.3644125817382897  -0.08820390467534373  0.6653637029821332
-0.36334704787355787  -0.08834371958548493  0.6654706942258544
-0.362281514008826  -0.08848354862746657  0.6655776962837525
-0.3612159801440942  -0.0886233917912359  0.6656847091481349
-0.3601504462793623  -0.08876324906739923  0.6657917328118131
-0.3590849124146305  -0.0889031204455829  0.6658987672668492
-0.3580193785498986  -0.08904300591563051  0.6660058125054705
-0.35695384468516683  -0.08918290546817476  0.6661128685205095
-0.355888310820435  -0.08932281909302968  0.6662199353041711
-0.35482277695570313  -0.08946274677992737  0.6663270128485981
-0.3537572430909713  -0.089602688519527  0.6664341011466427
